Slot,Roll,Department,Program,Company,Job code
.,170100035,Mechanical Engineering,B.Tech.,Placement Office,4
.,170100053,Mechanical Engineering,B.Tech.,Indian Space Research Organisation,1
.,170010005,Aerospace Engineering,B.Tech.,Placement Office,4
.,170050093,Computer Science & Engineering,B.Tech.,Placement Office,4
.,170100078,Computer Science & Engineering,B.Tech.,Placement Office,4
.,170260035,Engineering Physics,B.Tech.,Placement Office,4
.,170070019,Electrical Engineering,B.Tech.,Placement Office,4
.,16D100009,Electrical Engineering,B.Tech.,Placement Office,4
.,170050026,Computer Science & Engineering,B.Tech.,Placement Office,4
.,17B080012,Economics,B.S.,HOC India Private Limited,2
.,170050108,Computer Science & Engineering,B.Tech.,Placement Office,4
.,170020080,Chemical Engineering,B.Tech.,Placement Office,4
.,17D070006,Electrical Engineering,B.Tech.,Placement Office,4
.,170260009,Engineering Physics,B.Tech.,krista software inc,1
.,193050059,Computer Science & Engineering,M.Tech.,Infosys,2
.,193180004,Environmental Science & Engineering,M.Tech.,Quantum Phinance Pvt. Ltd,1
2 (IDC).1,196130013,Industrial Design Centre,M.Des.,Jio Platforms Limited - Design,2
.,196450011,Industrial Design Centre,M.Des.,Yuj Design,1
.,170100088,Mechanical Engineering,B.Tech.,Indian Space Research Organisation,1
.,193040046,Civil Engineering,M.Tech.,pharmaACE- Analytics Centre of Excellence,5
.,154076029,Electrical Engineering,Ph.D.,Intel,6
.,170040042,Mechanical Engineering,B.Tech.,Placement Office,4
.,170020077,Chemical Engineering,B.Tech.,pharmaACE- Analytics Centre of Excellence,5
.,193070010,Electrical Engineering,M.Tech.,John Deere India Pvt Ltd,1
.,170050025,Computer Science & Engineering,B.Tech.,Placement Office,4
.,170050071,Computer Science & Engineering,B.Tech.,Placement Office,4
.,17D070059,Computer Science & Engineering,B.Tech.,Placement Office,4
.,193100044,Mechanical Engineering,M.Tech.,BYJU'S - The Learning App,1
.,170050005,Computer Science & Engineering,B.Tech.,Placement Office,4
.,170100028,Mechanical Engineering,B.Tech.,Placement Office,4
.,193100059,Mechanical Engineering,M.Tech.,BYJU'S - The Learning App,1
.,193100075,Mechanical Engineering,M.Tech.,Solar Energy Corporation Of India Limited,2
.,16D070061,Electrical Engineering,Dual Degree (B.Tech. + M.Tech.),Accenture,1
